id,name,surname,party,alliance,political_stance,isMilletvekili,bsky_handle,did,verified,displayName
271,Arda,Turan,Adalet ve Kalkınma Partisi,Cumhur İttifakı,Muhafazakar,False,ardaturan0.bsky.social,did:plc:2wfkgjrhzdhyznjsdwvo76f3,True,Arda Turan
493,Çağdaş,Cengiz,Cumhuriyet Halk Partisi,Millet İttifakı,Muhalif,False,kccengiz.bsky.social,did:plc:gaif52dtl3fsyef32porhdu7,True,Kadir Çağdaş Cengiz
492,Barış,Terkoğlu,Cumhuriyet Halk Partisi,Millet İttifakı,Sol,False,terkoglubaris.bsky.social,did:plc:efqbedbgz645hiyqjk44ptnh,True,Barış Terkoğlu
491,Barış,Pehlivan,Cumhuriyet Halk Partisi,Millet İttifakı,Muhalif,False,barisphlvn.bsky.social,did:plc:o4mllclxbimsnwjcz6ijsfy5,True,Barış Pehlivan
482,Mazhar,Bağlı,Adalet ve Kalkınma Partisi,Cumhur İttifakı,Muhafazakar,False,mazharbagli.bsky.social,did:plc:zsf4dh2kirby5jykbeggyhaa,True,Mazhar Bağlı
476,Cem,Toker,Liberal Demokrat Parti,,Liberal,False,tokcem.bsky.social,did:plc:6ot5xgl5uuyi46ddqhn3uz22,True,CEM TOKER🐬
471,Soner,Yalçın,Cumhuriyet Halk Partisi,Millet İttifakı,Kemalist,False,soner2012.bsky.social,did:plc:cenvuoxbkdpk5zponcwgvep5,True,Soner Yalçın
453,Özgür,Demirtaş,Cumhuriyet Halk Partisi,Millet İttifakı,Liberal,False,profdemlrtas.bsky.social,did:plc:sog4bh23qryacuwbx2ibw4ew,True,Özgür Demirtaş
274,Sergen,Yalçın,Cumhuriyet Halk Partisi,Millet İttifakı,Liberal,False,sergenyalcin.bsky.social,did:plc:levqbrhosus7qdhxmka7djvl,True,Sergen Yalçın
1,Cüneyt,Özdemir,Cumhuriyet Halk Partisi,Millet İttifakı,Sosyal Demokrat,False,cuneytozdemir.bsky.social,did:plc:tc7llu4zi6ibwg2dqazd7t54,True,cuneytozdemir
270,Melis,Alphan,Cumhuriyet Halk Partisi,Millet İttifakı,Kemalist,False,melisalphan.bsky.social,did:plc:tg2icjatnykykyfqtmcxmbtk,True,Melis Alphan
93,Hande,Fırat,Adalet ve Kalkınma Partisi,Cumhur İttifakı,Muhafazakar,False,handefrt.bsky.social,did:plc:fi5u6sjsun4zmrcp5ock5jh4,True,Hande Fırat
89,Gültekin,Uysal,Demokrat Parti,Millet İttifakı,Merkez Sağ,False,gultekinuysal.bsky.social,did:plc:ckabkwksrw2hejki5znasfd3,True,Gültekin Uysal
88,Fatih,Erbakan,Yeniden Refah Partisi,,İslamcı,False,furkanehlivan.bsky.social,did:plc:bh3jc3cvbuktv7snsj3lhhrd,True,Fatih Erbakan
85,Ali,Babacan,Demokrasi ve Atılım Partisi,,Liberal,False,babacanali.bsky.social,did:plc:7bt6bo266hduoia7g7rn4ena,True,Ali Babacan
79,Ali,Koç,Milliyetçi Hareket Partisi,Cumhur İttifakı,Milliyetçi,False,aliikoc.bsky.social,did:plc:jiunpi6xaymhrzz24shwsgxb,True,ALİ KOÇ
78,Aydın,Doğan,Cumhuriyet Halk Partisi,Millet İttifakı,Liberal,False,doganaydin.bsky.social,did:plc:ulu3tt7bswncbkjt6xttt7jf,True,Doğan Aydın
77,Melih,Gökçek,Adalet ve Kalkınma Partisi,Cumhur İttifakı,Muhafazakar,False,06melihchina.bsky.social,did:plc:tzcbu43jmhmrshwinhfzvqbk,True,İbrahim Melih Gökçek
75,Mansur,Yavaş,Cumhuriyet Halk Partisi,Millet İttifakı,Sosyal Demokrat,False,mansuryavas06.bsky.social,did:plc:wy4xmhf4l4bvumlqn4htjma5,True,Mansur Yavaş
73,Acun,Ilıcalı,Adalet ve Kalkınma Partisi,Cumhur İttifakı,Muhafazakar,False,acunilicali.bsky.social,did:plc:cun743k2iffgrk5mvyrfexrz,True,Acun Ilıcalı
70,Ahmet,Çakar,Adalet ve Kalkınma Partisi,Cumhur İttifakı,Muhafazakar,False,ahmetcakar1.bsky.social,did:plc:e3mcpnzxvtuhax2yn5guyxdp,True,Ahmet Çakar
58,Gülben,Ergen,Adalet ve Kalkınma Partisi,Cumhur İttifakı,Muhafazakar,False,gulbenergen.bsky.social,did:plc:ifnipmmlm3plfpxaknwmwufp,True,
26,Ahmet,Altan,Cumhuriyet Halk Partisi,Millet İttifakı,Liberal,False,ahmetaltan.bsky.social,did:plc:twz2resf7qxggdwkz7rvbahe,True,Ahmet Altan
23,Selahattin,Demirtaş,Halkların Eşitlik ve Demokrasi Partisi,Emek ve Özgürlük İttifakı,Sol-Kürt Hareketi,False,selahattindemirtas.bsky.social,did:plc:qlq7ay6kybwkgy5b7nry2v73,True,Selahattin Demirtaş
21,Haluk,Levent,Cumhuriyet Halk Partisi,Millet İttifakı,Sosyal Demokrat,False,halukleventacil.bsky.social,did:plc:ucvnis3ymhzr7bdfxylvhzt7,True,Haluk Levent
20,Sezen,Aksu,Cumhuriyet Halk Partisi,Millet İttifakı,Liberal,False,sezenaksuresmi.bsky.social,did:plc:7vnkfzeg554lkpllt2uy4d3f,True,Sezen AKSU
10,Ahmet,Hakan,Adalet ve Kalkınma Partisi,Cumhur İttifakı,Muhafazakar,False,yldrmhakan.bsky.social,did:plc:leqs4yecyu3de54mkaukuq55,True,Ahmet Hakan Yıldırım
8,İsmail,Saymaz,Cumhuriyet Halk Partisi,Millet İttifakı,Sol,False,saymaz-ismail.bsky.social,did:plc:i6nyk5dree5lrvbo7gw6wmuc,True,İsmail Saymaz
7,Can,Ataklı,Cumhuriyet Halk Partisi,Millet İttifakı,Kemalist,False,can-atakli.bsky.social,did:plc:hhvgkjvhccegh4w4jiwmlwxc,True,Can Ataklı
97,Uğur,Koç,Cumhuriyet Halk Partisi,Millet İttifakı,Sosyal Demokrat,False,ugurkoc.bsky.social,did:plc:cg5h7psibaapodvusqriqlqi,True,Uğur Koç
269,Semiha,Şahin,Cumhuriyet Halk Partisi,Millet İttifakı,Muhalif,False,semihasahin.bsky.social,did:plc:s7gsp23gthb6ycnver4mfcco,True,Semiha Şahin
103,Mehmet,Cengiz,Adalet ve Kalkınma Partisi,Cumhur İttifakı,Muhafazakar,False,mehmetakifcengiz.com,did:plc:4mhbobbj6m5jw2pcerznl4pe,True,Mehmet Akif Cengiz
263,Fuat,Uğur,Adalet ve Kalkınma Partisi,Cumhur İttifakı,Muhafazakar,False,fuatugur.bsky.social,did:plc:gqqtr32zgongku72eb63e3x4,True,Fuat Uğur
231,Bergüzar,Korel,Cumhuriyet Halk Partisi,Millet İttifakı,Liberal,False,berguzarkorel.bsky.social,did:plc:mtfnbwrgxhaiyjjysspjqfla,True,Bergüzar Korel
209,Alaattin,Çakıcı,Milliyetçi Hareket Partisi,Cumhur İttifakı,Milliyetçi,False,alattincakici.bsky.social,did:plc:ppmni6eylyvdw35blvfe6dlz,True,Alaattin Çakıcı
206,Basel,Basel,Adalet ve Kalkınma Partisi,Cumhur İttifakı,Muhafazakar,False,kanirbasel.bsky.social,did:plc:oap3kde56yahbfz5hueqnx3d,True,basel
202,Hakan,Şükür,Bağımsız,,FETÖ,False,hakansukur.bsky.social,did:plc:5wv6r26xciedtkm27yunop7s,True,Hakan Şükür
201,Cevheri,Güven,Adalet ve Kalkınma Partisi,Cumhur İttifakı,Muhafazakar,False,cevheriguven.bsky.social,did:plc:g6qsrvgptvjegy7v7w67g43u,True,Cevheri Güven
199,Serdar,Turgut,Cumhuriyet Halk Partisi,Millet İttifakı,Sol,False,serdarturgut.bsky.social,did:plc:sx2v2apueq3lx5lhmns6iqco,True,Serdar Turgut
184,Mehmet,Şimşek,Adalet ve Kalkınma Partisi,Cumhur İttifakı,Liberal Muhafazakar,False,memetsimsekk.bsky.social,did:plc:3iiiivwwgd4vrxapwsdvydve,True,Mehmet Şimşek ( Bakan olan )
174,Sinan,Ateş,Milliyetçi Hareket Partisi,Cumhur İttifakı,Milliyetçi,False,sinanates.bsky.social,did:plc:icjfikm7ezbry7sapl373pxv,True,Sinan Ateş
172,Mehmet,Öz,Cumhuriyet Halk Partisi,Millet İttifakı,Liberal,False,memmetmehmet.bsky.social,did:plc:geap45rwsdy37v54upa5yhbg,True,Mehmet öz
171,Canan,Karatay,Cumhuriyet Halk Partisi,Millet İttifakı,Kemalist,False,profdrcanankaratay.bsky.social,did:plc:bdhp2ksdjdeaunrlkta3l6vb,True,Prof. Dr. Canan Efendigil Karatay
155,Hikmet,Çetin,Cumhuriyet Halk Partisi,Millet İttifakı,Kemalist,False,hikmetctn.bsky.social,did:plc:ltlg5ha5mifnrjcoiygajw3x,True,Hikmet ÇETİN
151,Şamil,Tayyar,Adalet ve Kalkınma Partisi,Cumhur İttifakı,Muhafazakar,False,samiltayyar27.bsky.social,did:plc:zf62hillzomsnpv3otdvjzvf,True,Tamil Şayyar
149,Nedim,Şener,Cumhuriyet Halk Partisi,Millet İttifakı,Muhalif,False,nedimsener.bsky.social,did:plc:aclqtihujobby4b5d3luagqw,True,Nedim Şener
139,Kıraç,Kıraç,Cumhuriyet Halk Partisi,Millet İttifakı,Sol,False,ayikamazsin.bsky.social,did:plc:hrs7vc227nwnrdko42mqvy7c,True,Kıraç
136,Mustafa,Ceceli,Adalet ve Kalkınma Partisi,Cumhur İttifakı,Muhafazakar,False,mustafaceceli.bsky.social,did:plc:mn3tvzddqgrbvzppojs4nu73,True,Mustafa Ceceli
108,Mahfi,Eğilmez,Cumhuriyet Halk Partisi,Millet İttifakı,Merkez,False,mahfiegilmezz.bsky.social,did:plc:vl3rh45tg56j5rtwuy2vkisb,True,Mahfi Eğilmez
599,İrfan,Aktan,Cumhuriyet Halk Partisi,Millet İttifakı,Muhalif,False,irfanaktan.bsky.social,did:plc:wrpm3qgzplzufutshjcbdud3,True,İrfan Aktan
